business_id,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday
Pns2l4eNsfO8kk83dixA6A,,,,,,,
mpf3x-BjTdTEA3yCZrAYPw,0:0-0:0,8:0-18:30,8:0-18:30,8:0-18:30,8:0-18:30,8:0-14:0,
tUFrWirKiKi_TAnsVWINQQ,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-23:0,8:0-23:0,8:0-22:0
MTSW4McQd7CbVtyjqoe9mw,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-21:0,7:0-21:0,7:0-21:0
mWMc6_wTdE0EUBKIGXDVfA,,,14:0-22:0,16:0-22:0,12:0-22:0,12:0-22:0,12:0-18:0
CF33F8-E6oudUQ46HnavjQ,0:0-0:0,6:0-22:0,6:0-22:0,6:0-22:0,9:0-0:0,9:0-22:0,8:0-22:0
n_0UpQx1hsNbnPUSlodU8w,0:0-0:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,12:0-18:0
qkRM_2X51Yqxk3btlwAQIg,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,,,
k0hlBqXX-Bt0vf1op7Jr1w,,,,,,,,
bBDDEgkFA1Otx9Lfe7BZUQ,0:0-0:0,6:0-21:0,6:0-21:0,6:0-16:0,6:0-16:0,6:0-17:0,6:0-21:0
UJsufbvfyfONHeWdvAHKjA,9:30-21:30,9:30-21:30,9:30-21:30,9:30-21:30,9:30-21:30,9:30-21:30,10:0-20:0
eEOYSgkmpB90uNA7lDOMRA,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,5:0-10:0,15:0-18:0
il_Ro8jwPlHresjw9EGmBg,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0
jaxMSoInw8Poo3XeMJt8lQ,7:30-15:30,7:30-15:30,7:30-15:30,7:30-15:30,,,, 
0bPLkL0QhhPO5kt1_EXmNQ,10:0-18:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,11:0-20:0
MUTTqe8uqyMdBl186RmNeA,,13:30-22:0,13:30-22:0,13:30-22:0,13:30-23:0,13:30-23:0,13:30-22:0
rBmpy_Y1UbBx8ggHlyb7hA,0:0-0:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-14:0,0:0-0:0
M0XSSHqrASOnhgbWDJIpQA,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0
8wGISYjYkE2tSqn3cDMu8A,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-15:0,9:0-12:0
ROeacJQwBeh05Rqg7F6TCg,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30
WKMJwqnfZKsAae75RMP6jA,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,10:0-17:0
qhDdDeI3K4jy2KyzwFN53w,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-19:0
kfNv-JZpuN6TVNSO6hHdkw,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,
9OG5YkX1g2GReZM0AskizA,11:0-22:0,11:0-22:0,10:0-22:0,11:0-20:0,11:0-21:0,12:0-21:0,11:0-21:0
4iRzR7OaS-QaSXuvYxEGKA,,,,,,,,
PSo_C1Sfa13JHjzVNW6ziQ,8:0-19:0,8:0-19:0,8:0-19:0,8:0-19:0,8:0-17:0,9:0-13:0,
noByYNtDLQAra9ccqxdfDw,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0
tMkwHmWFUEXrC9ZduonpTg,,,16:0-22:0,16:0-22:0,16:0-23:0,16:0-23:0,
QdN72BWoyFypdGJhhI5r7g,16:0-0:0,16:0-0:0,16:0-0:0,12:0-0:0,12:0-2:0,11:0-2:0,11:0-0:0
sqSqqLy0sN8n2IZrAbzidQ,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-1:0,10:0-0:0
fvWn8oXXwbj2l79cochZyw,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-22:0,9:0-22:0,10:0-20:0
Mjboz24M9NlBeiOJKLEd_Q,,17:0-21:30,17:0-1:30,17:0-1:30,17:0-0:30,17:0-0:30,17:0-21:30
8sshLb4UU7emeUDvtJWnpA,0:0-0:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-17:0,12:0-15:0
kV_Q1oqis8Qli8dUoGpTyQ,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
w_AMNoI1iG9eay7ncmc67w,,,,,,,
aPNXGTDkf-4bjhyMBQxqpQ,0:0-0:0,,16:0-22:0,16:0-22:0,16:0-19:0,11:0-23:0,11:0-20:0
2xVsWBNFwZOxIOdd9Mwnww,,,,,,,
mGFsPRHdE6SMV1gYQ6GzgQ,0:0-0:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,11:0-18:0
